fecha;Open;High;Low;Close;Volume;Currency
05/03/2020;60.346;63.188;60.346;62.057;9149899;USD
06/03/2020;62.065;63.784;61.26;63.211;8757976;USD
07/03/2020;63.203;63.813;60.089;60.454;7575408;USD
08/03/2020;60.454;60.456;50.787;50.96;11832095;USD
09/03/2020;50.974;52.204;46.751;50.507;16440278;USD
10/03/2020;50.497;51.362;49.063;50.197;9853765;USD
11/03/2020;50.203;50.716;45.646;48.55;10460622;USD
12/03/2020;48.553;48.744;28.955;29.839;31691664;USD
13/03/2020;29.852;39.837;24.353;37.552;40422656;USD
14/03/2020;37.556;37.637;33.872;34.44;14027958;USD
15/03/2020;34.435;38.528;34.071;36.392;12731870;USD
16/03/2020;36.391;36.391;29.447;33.127;20025604;USD
17/03/2020;33.134;35.779;32.536;34.184;14088832;USD
18/03/2020;34.172;34.786;32.417;34.706;13483834;USD
19/03/2020;34.709;40.566;34.033;38.974;16865552;USD
20/03/2020;38.976;43.486;34.473;38.045;18674588;USD
21/03/2020;38.046;39.751;36.468;38.347;11978221;USD
22/03/2020;38.347;39.661;35.001;35.431;11164664;USD
23/03/2020;35.429;39.77;34.839;39.051;12432856;USD
24/03/2020;39.05;40.952;38.284;40.573;9967087;USD
25/03/2020;40.575;40.946;38.209;39.181;9139551;USD
26/03/2020;39.181;40.444;38.517;40.413;8584700;USD
27/03/2020;40.412;41.131;38.003;38.056;9221232;USD
28/03/2020;38.059;39.391;36.675;38.851;11479914;USD
29/03/2020;38.848;39.101;37.117;37.185;7788920;USD
30/03/2020;37.194;39.605;37.18;38.923;17049690;USD
31/03/2020;38.924;39.562;38.414;39.078;20817812;USD
01/04/2020;39.058;39.429;37.2;39.214;21161780;USD
02/04/2020;39.215;42.712;38.443;39.895;23075298;USD
03/04/2020;39.906;41.238;39.682;40.493;14521436;USD
04/04/2020;40.476;41.073;40.009;40.709;12536645;USD
05/04/2020;40.709;40.988;39.948;40.342;10585388;USD
06/04/2020;40.342;45.014;40.307;45.011;18090628;USD
07/04/2020;45.008;47.605;43.864;44.885;12252427;USD
08/04/2020;44.882;47.25;44.348;46.542;11646567;USD
09/04/2020;46.542;46.861;44.924;46.278;11469295;USD
10/04/2020;46.275;46.449;40.957;42.27;16445338;USD
11/04/2020;42.27;43.136;41.488;42.532;10712639;USD
12/04/2020;42.531;43.559;41.857;42.021;12088230;USD
13/04/2020;42.02;42.03;39.763;41.199;18780926;USD
